mm7412 ENSMUSG00000040471
mm24590 ENSMUSG00000067987
mm24593 ENSMUSG00000069928
mm24592 ENSMUSG00000068755
mm2877 ENSMUSG00000025964
mm2876 ENSMUSG00000060673
mm2875 ENSMUSG00000061578
mm2874 ENSMUSG00000018372
mm24599 ENSMUSG00000069929
mm24598 ENSMUSG00000068640
mm2871 ENSMUSG00000022619
mm2870 ENSMUSG00000038379
mm7342 ENSMUSG00000027896
mm7343 ENSMUSG00000057880
mm7340 ENSMUSG00000020311
mm7341 ENSMUSG00000067128
mm7346 ENSMUSG00000003099
mm7347 ENSMUSG00000040724
mm7344 ENSMUSG00000029679
mm7345 ENSMUSG00000036067
mm7348 ENSMUSG00000022637
mm7349 ENSMUSG00000031949
mm15078 ENSMUSG00000028124
mm15079 ENSMUSG00000034108
mm15072 ENSMUSG00000053112
mm15073 ENSMUSG00000025289
mm15070 ENSMUSG00000028322
mm15071 ENSMUSG00000025139
mm15076 ENSMUSG00000038462
mm15077 ENSMUSG00000047022
mm15074 ENSMUSG00000031485
mm15075 ENSMUSG00000014543
mm15241 ENSMUSG00000035226
mm15240 ENSMUSG00000062874
mm15243 ENSMUSG00000023919
mm15242 ENSMUSG00000004655
mm15245 ENSMUSG00000066554
mm15244 ENSMUSG00000021384
mm15247 ENSMUSG00000041578
mm15246 ENSMUSG00000031613
mm7966 ENSMUSG00000043207
mm7967 ENSMUSG00000030529
mm7964 ENSMUSG00000047478
mm7965 ENSMUSG00000004462
mm7962 ENSMUSG00000004896
mm7963 ENSMUSG00000041729
mm7960 ENSMUSG00000051228
mm7961 ENSMUSG00000038187
mm7968 ENSMUSG00000004542
mm7969 ENSMUSG00000004540
mm11319 ENSMUSG00000051695
mm11318 ENSMUSG00000040151
mm11313 ENSMUSG00000068471
mm11312 ENSMUSG00000045991
mm11311 ENSMUSG00000016327
mm11310 ENSMUSG00000047751
mm11317 ENSMUSG00000048754
mm11316 ENSMUSG00000067224
mm11315 ENSMUSG00000028578
mm11314 ENSMUSG00000050994
mm20898 ENSMUSG00000061991 ENSMUSG00000069302 ENSMUSG00000069313 ENSMUSG00000063021
mm20899 ENSMUSG00000043861
mm20450 ENSMUSG00000050786
mm20451 ENSMUSG00000015668
mm20452 ENSMUSG00000060343
mm20453 ENSMUSG00000053883
mm20454 ENSMUSG00000069895
mm20455 ENSMUSG00000057505
mm20456 ENSMUSG00000051219
mm20457 ENSMUSG00000062601
mm20458 ENSMUSG00000069370
mm20459 ENSMUSG00000022825
mm20892 ENSMUSG00000018427
mm20893 ENSMUSG00000034408
mm12644 ENSMUSG00000023912
mm12645 ENSMUSG00000066273
mm20896 ENSMUSG00000020801
mm20897 ENSMUSG00000026224
mm23378 ENSMUSG00000025271
mm10145 ENSMUSG00000025364
mm10144 ENSMUSG00000019188
mm23370 ENSMUSG00000066198
mm23371 ENSMUSG00000042802
mm23372 ENSMUSG00000067047
mm23373 ENSMUSG00000057322 ENSMUSG00000064163 ENSMUSG00000059159
mm23374 ENSMUSG00000068256
mm23375 ENSMUSG00000066344
mm23376 ENSMUSG00000066065
mm23377 ENSMUSG00000067067
mm24164 ENSMUSG00000069857
mm10148 ENSMUSG00000040901
mm17009 ENSMUSG00000047557
mm17008 ENSMUSG00000033916
mm17001 ENSMUSG00000022485
mm17000 ENSMUSG00000058361
mm17003 ENSMUSG00000043424
mm17002 ENSMUSG00000050709
mm17005 ENSMUSG00000053573
mm17004 ENSMUSG00000037190
mm17007 ENSMUSG00000057191
mm17006 ENSMUSG00000064156
mm22427 ENSMUSG00000035165
mm22426 ENSMUSG00000063954
mm22425 ENSMUSG00000066335
mm22424 ENSMUSG00000057909
mm22423 ENSMUSG00000050610
mm22422 ENSMUSG00000034805
mm22421 ENSMUSG00000056743
mm22420 ENSMUSG00000054905
mm22429 ENSMUSG00000049547
mm22428 ENSMUSG00000034764
mm19128 ENSMUSG00000038444
mm19129 ENSMUSG00000044303 DIP:24169N
mm19120 ENSMUSG00000051031
mm19121 ENSMUSG00000056251
mm19122 ENSMUSG00000024841
mm19123 ENSMUSG00000033405 ENSMUSG00000037603 ENSMUSG00000053472
mm19124 ENSMUSG00000028567
mm19125 ENSMUSG00000065984
mm19126 ENSMUSG00000038994
mm19127 ENSMUSG00000009076
mm14062 ENSMUSG00000023943
mm14063 ENSMUSG00000006728 DIP:194N
mm14060 ENSMUSG00000068417
mm14061 ENSMUSG00000039615
mm14066 ENSMUSG00000035295
mm14067 ENSMUSG00000047367
mm14064 DIP:1053N
mm14065 ENSMUSG00000028186
mm14068 ENSMUSG00000027355
mm14069 ENSMUSG00000068475
mm21198 ENSMUSG00000068584
mm21199 ENSMUSG00000041801
mm21196 ENSMUSG00000064101
mm21197 ENSMUSG00000009927 ENSMUSG00000063739
mm21194 ENSMUSG00000019738
mm21195 ENSMUSG00000051562
mm21192 ENSMUSG00000044865
mm21193 ENSMUSG00000058933
mm21190 ENSMUSG00000025349 ENSMUSG00000055771
mm21191 ENSMUSG00000062304
mm21448 ENSMUSG00000054181
mm21449 ENSMUSG00000056415
mm21440 ENSMUSG00000034211
mm21441 ENSMUSG00000053263
mm21442 ENSMUSG00000020091
mm21443 ENSMUSG00000058459
mm21444 ENSMUSG00000062220
mm21445 ENSMUSG00000038347
mm21446 ENSMUSG00000050538
mm21447 ENSMUSG00000027341
mm15331 ENSMUSG00000047117
mm15330 ENSMUSG00000030760
mm15333 ENSMUSG00000032473
mm15332 ENSMUSG00000053070
mm15335 ENSMUSG00000007415
mm15334 ENSMUSG00000030887
mm15337 ENSMUSG00000048387
mm15336 ENSMUSG00000044362
mm15339 ENSMUSG00000024097
mm15338 ENSMUSG00000066061
mm15585 ENSMUSG00000061015
mm20717 ENSMUSG00000033267
mm20716 ENSMUSG00000062284
mm20715 ENSMUSG00000046402
mm20714 ENSMUSG00000038157
mm20713 ENSMUSG00000053615
mm20712 ENSMUSG00000021598
mm20711 ENSMUSG00000047403
mm20710 ENSMUSG00000046531
mm212 ENSMUSG00000001855
mm213 ENSMUSG00000028364
mm210 ENSMUSG00000024388
mm211 ENSMUSG00000021068
mm216 ENSMUSG00000059508
mm217 ENSMUSG00000032777
mm20719 ENSMUSG00000060840
mm20718 ENSMUSG00000062329
mm6467 ENSMUSG00000012296
mm14185 ENSMUSG00000024427
mm18607 ENSMUSG00000021545
mm14187 ENSMUSG00000069527
mm14186 ENSMUSG00000069994
mm18602 ENSMUSG00000032434
mm18603 ENSMUSG00000001144
mm18600 ENSMUSG00000040877
mm18601 ENSMUSG00000048572
mm4279 ENSMUSG00000024045
mm4278 ENSMUSG00000031785
mm18609 ENSMUSG00000051615
mm4271 ENSMUSG00000064262
mm4270 ENSMUSG00000029121
mm10208 ENSMUSG00000045114
mm10209 ENSMUSG00000030846
mm10202 ENSMUSG00000063589
mm10203 ENSMUSG00000004044
mm10200 ENSMUSG00000026662
mm10201 ENSMUSG00000023279
mm10206 ENSMUSG00000020766
mm10207 ENSMUSG00000029823
mm10204 ENSMUSG00000035077
mm10205 ENSMUSG00000034064
mm5634 ENSMUSG00000021671
mm5635 ENSMUSG00000051067
mm5636 ENSMUSG00000063659
mm5637 ENSMUSG00000029656
mm5630 ENSMUSG00000035513
mm5631 ENSMUSG00000017499
mm5632 ENSMUSG00000024556
mm5633 ENSMUSG00000028270
mm5638 ENSMUSG00000020430
mm5639 ENSMUSG00000005836
mm3283 ENSMUSG00000014550
mm3282 ENSMUSG00000027109
mm3281 ENSMUSG00000038181
mm3280 ENSMUSG00000050258
mm3287 ENSMUSG00000043987
mm3286 ENSMUSG00000010936
mm3285 ENSMUSG00000022805
mm3284 ENSMUSG00000040489
mm3289 ENSMUSG00000069400
mm3288 ENSMUSG00000045078
mm11159 ENSMUSG00000050821
mm11158 ENSMUSG00000067238
mm11151 ENSMUSG00000030189
mm11150 ENSMUSG00000069195
mm11153 ENSMUSG00000062270
mm11152 ENSMUSG00000056854
mm11155 ENSMUSG00000026276
mm11154 ENSMUSG00000026275
mm11157 ENSMUSG00000058005
mm11156 ENSMUSG00000063935
mm13799 ENSMUSG00000029125
mm13798 ENSMUSG00000055681
mm13795 ENSMUSG00000045780
mm13794 ENSMUSG00000053389
mm13797 ENSMUSG00000043357
mm13796 ENSMUSG00000056696
mm13791 ENSMUSG00000059030
mm13790 ENSMUSG00000061022
mm13793 ENSMUSG00000062608
mm13792 ENSMUSG00000054498
mm9638 ENSMUSG00000064111
mm16313 ENSMUSG00000001663
mm16310 ENSMUSG00000066460
mm2629 ENSMUSG00000036693
mm16316 ENSMUSG00000020650
mm16317 ENSMUSG00000047828
mm16314 ENSMUSG00000028699
mm16315 ENSMUSG00000033044
mm2622 ENSMUSG00000021451
mm9631 ENSMUSG00000047161
mm2620 ENSMUSG00000030384
mm16319 DIP:1043N
mm9634 ENSMUSG00000068113
mm9635 ENSMUSG00000026430
mm9636 ENSMUSG00000049643
mm9637 ENSMUSG00000031433
mm7562 ENSMUSG00000062624 ENSMUSG00000025004
mm7563 ENSMUSG00000021038
mm7560 ENSMUSG00000015757
mm7561 DIP:24224N
mm7566 ENSMUSG00000043673
mm7567 ENSMUSG00000037526
mm7564 ENSMUSG00000033941
mm7565 ENSMUSG00000022032
mm7568 ENSMUSG00000033335
mm7569 ENSMUSG00000025340
mm23176 ENSMUSG00000023335
mm23177 ENSMUSG00000067961
mm23174 ENSMUSG00000068875
mm23175 ENSMUSG00000048500
mm23172 ENSMUSG00000020022
mm23173 ENSMUSG00000052192
mm23170 ENSMUSG00000036372
mm23171 ENSMUSG00000050608
mm23178 ENSMUSG00000061577
mm23179 ENSMUSG00000069808
mm12543 ENSMUSG00000059873 ENSMUSG00000057207
mm12542 ENSMUSG00000022378
mm12541 ENSMUSG00000062566
mm12540 ENSMUSG00000060414
mm12547 ENSMUSG00000019494
mm12546 ENSMUSG00000020648
mm12545 ENSMUSG00000033272
mm12544 ENSMUSG00000029484
mm12549 ENSMUSG00000068569
mm12548 ENSMUSG00000062350
mm11939 ENSMUSG00000037808
mm11938 ENSMUSG00000059763
mm11933 ENSMUSG00000021939
mm11932 ENSMUSG00000001962
mm11931 ENSMUSG00000048697
mm11930 ENSMUSG00000038009
mm11937 ENSMUSG00000034327
mm11936 ENSMUSG00000052186
mm11935 ENSMUSG00000026659
mm11934 ENSMUSG00000021431
mm8273 ENSMUSG00000029635
mm8272 ENSMUSG00000023042
mm8271 ENSMUSG00000027775
mm8270 ENSMUSG00000025533
mm8277 ENSMUSG00000005683
mm8276 ENSMUSG00000037818
mm8275 ENSMUSG00000036892
mm8274 ENSMUSG00000030839
mm8279 ENSMUSG00000005846
mm8278 ENSMUSG00000031365
mm6389 ENSMUSG00000018199
mm6388 ENSMUSG00000040651
mm6385 ENSMUSG00000036198
mm6384 ENSMUSG00000001416
mm6387 ENSMUSG00000033965
mm6386 ENSMUSG00000042514
mm6381 ENSMUSG00000028959
mm6380 ENSMUSG00000051934
mm6383 ENSMUSG00000058578
mm6382 ENSMUSG00000035078
mm14260 ENSMUSG00000030674
mm14261 DIP:108N
mm14262 DIP:373N ENSMUSG00000030805
mm14263 DIP:24176N
mm14264 ENSMUSG00000060490
mm14265 ENSMUSG00000025781
mm14266 ENSMUSG00000003549
mm14267 ENSMUSG00000031633
mm14268 ENSMUSG00000069294
mm14269 ENSMUSG00000057799
mm4712 ENSMUSG00000057914
mm4713 ENSMUSG00000000216
mm4714 ENSMUSG00000042492
mm4715 ENSMUSG00000022515
mm4716 ENSMUSG00000003746
mm4717 ENSMUSG00000057101
mm14884 ENSMUSG00000044866
mm14885 ENSMUSG00000024135
mm14886 ENSMUSG00000049892
mm14887 ENSMUSG00000027270
mm14880 ENSMUSG00000047583
mm14881 ENSMUSG00000022248
mm14882 ENSMUSG00000061772
mm14883 ENSMUSG00000023092
mm14888 ENSMUSG00000029517
mm14889 ENSMUSG00000043431
mm24384 ENSMUSG00000066674
mm24385 ENSMUSG00000050582
mm24386 ENSMUSG00000069354
mm24387 ENSMUSG00000066236
mm24380 ENSMUSG00000067282
mm24381 ENSMUSG00000042045
mm24382 ENSMUSG00000067986
mm24383 ENSMUSG00000068559
mm24388 ENSMUSG00000068265
mm24389 ENSMUSG00000068436
mm19450 ENSMUSG00000045777
mm19451 ENSMUSG00000057058
mm19452 ENSMUSG00000030406
mm19453 ENSMUSG00000023482
mm19454 ENSMUSG00000047901
mm19455 ENSMUSG00000028899 DIP:496N
mm15139 ENSMUSG00000024868
mm15138 ENSMUSG00000068248
mm15137 ENSMUSG00000062733
mm15136 ENSMUSG00000032409
mm15135 ENSMUSG00000061723
mm15134 ENSMUSG00000067895
mm15133 ENSMUSG00000020429
mm15132 ENSMUSG00000061414
mm15131 ENSMUSG00000002111
mm15130 ENSMUSG00000063192
mm24038 ENSMUSG00000069509
mm24039 ENSMUSG00000068864
mm24036 ENSMUSG00000067129
mm24037 ENSMUSG00000067099
mm24034 ENSMUSG00000066943
mm24035 ENSMUSG00000067196
mm24032 ENSMUSG00000068444
mm24033 ENSMUSG00000069185
mm24030 ENSMUSG00000068269
mm24031 ENSMUSG00000070051
mm21606 ENSMUSG00000057988
mm21607 ENSMUSG00000003387
mm21604 ENSMUSG00000061100
mm21605 ENSMUSG00000029409
mm21602 ENSMUSG00000040456
mm21603 ENSMUSG00000068383 ENSMUSG00000069602
mm21600 ENSMUSG00000049881
mm21601 ENSMUSG00000057048
mm21608 ENSMUSG00000062849
mm21609 ENSMUSG00000055933
mm454 ENSMUSG00000055333
mm455 ENSMUSG00000026024
mm456 ENSMUSG00000005102
mm457 ENSMUSG00000055491
mm450 ENSMUSG00000033987
mm451 ENSMUSG00000020640
mm452 ENSMUSG00000028370
mm453 ENSMUSG00000028068
mm458 ENSMUSG00000018800
mm459 ENSMUSG00000039282
mm982 ENSMUSG00000037286
mm983 ENSMUSG00000003119
mm980 ENSMUSG00000031732
mm981 ENSMUSG00000033577
mm986 ENSMUSG00000053825
mm987 ENSMUSG00000038406
mm984 ENSMUSG00000060862
mm985 ENSMUSG00000006649
mm988 ENSMUSG00000024456
mm989 ENSMUSG00000032737
mm18198 ENSMUSG00000057889 ENSMUSG00000059061 ENSMUSG00000067748
mm18199 ENSMUSG00000018102
mm18196 ENSMUSG00000002233
mm18197 ENSMUSG00000050375
mm18194 ENSMUSG00000039478
mm18195 ENSMUSG00000032240
mm18192 ENSMUSG00000022194
mm18193 ENSMUSG00000068784
mm18190 ENSMUSG00000050574
mm18191 DIP:27619N ENSMUSG00000030793
mm17218 ENSMUSG00000060244
mm17219 ENSMUSG00000066549
mm19199 ENSMUSG00000049979
mm17210 ENSMUSG00000054558
mm17211 ENSMUSG00000026012
mm17212 ENSMUSG00000025956
mm17213 ENSMUSG00000069926
mm17214 ENSMUSG00000038387
mm17215 ENSMUSG00000026063
mm17216 ENSMUSG00000027890
mm17217 ENSMUSG00000027891
mm18448 ENSMUSG00000068466
mm18449 ENSMUSG00000028039
mm18440 ENSMUSG00000053571
mm18441 ENSMUSG00000039496
mm18442 ENSMUSG00000037493
mm18443 ENSMUSG00000050731
mm18444 ENSMUSG00000045327
mm18445 ENSMUSG00000053641
mm18446 ENSMUSG00000030396
mm18447 ENSMUSG00000060833
mm14747 ENSMUSG00000041420
mm14746 ENSMUSG00000060243
mm14745 ENSMUSG00000033953
mm14744 ENSMUSG00000062399
mm14743 ENSMUSG00000052858
mm14742 ENSMUSG00000039257
mm14741 ENSMUSG00000060601
mm14740 ENSMUSG00000020630
mm14749 ENSMUSG00000032366 DIP:300N
mm14748 ENSMUSG00000022668
mm19717 ENSMUSG00000021396
mm19716 ENSMUSG00000059249 ENSMUSG00000064021
mm19715 ENSMUSG00000055147
mm19714 ENSMUSG00000069315
mm19713 ENSMUSG00000069652
mm19712 ENSMUSG00000030869
mm19711 ENSMUSG00000018143
mm19710 ENSMUSG00000069560
mm19719 ENSMUSG00000039146
mm19718 ENSMUSG00000045503
mm48 ENSMUSG00000024421
mm49 ENSMUSG00000041147
mm42 ENSMUSG00000043940
mm43 ENSMUSG00000042453
mm40 ENSMUSG00000019726
mm41 ENSMUSG00000042678
mm46 ENSMUSG00000012819
mm47 ENSMUSG00000021614
mm44 ENSMUSG00000063150
mm45 ENSMUSG00000019820
mm13968 ENSMUSG00000059375
mm13969 ENSMUSG00000059379
mm13962 ENSMUSG00000058132
mm13963 ENSMUSG00000040374
mm13960 ENSMUSG00000030194
mm13961 ENSMUSG00000020284
mm13966 ENSMUSG00000068645 ENSMUSG00000064266
mm13967 ENSMUSG00000066723
mm13964 ENSMUSG00000012396
mm13965 ENSMUSG00000068644
mm10439 ENSMUSG00000040043
mm10438 ENSMUSG00000024663
mm10431 ENSMUSG00000035863
mm10430 ENSMUSG00000021650
mm10433 ENSMUSG00000048400
mm10432 ENSMUSG00000054659
mm10435 ENSMUSG00000047528
mm10434 ENSMUSG00000044320
mm10437 ENSMUSG00000028546
mm10436 ENSMUSG00000027361 DIP:321N
mm12363 ENSMUSG00000047678
mm12362 ENSMUSG00000033279
mm12361 ENSMUSG00000027601
mm12360 ENSMUSG00000069171
mm12367 ENSMUSG00000002413
mm12366 ENSMUSG00000028115
mm12365 ENSMUSG00000057198
mm12364 ENSMUSG00000028636
mm12369 ENSMUSG00000027522
mm12368 ENSMUSG00000050762
mm16873 ENSMUSG00000060871
mm16872 ENSMUSG00000023781
mm16871 ENSMUSG00000045165
mm16870 ENSMUSG00000025979
mm16877 ENSMUSG00000024678
mm16876 ENSMUSG00000053113
mm16875 ENSMUSG00000020815
mm16874 ENSMUSG00000003721
mm16879 ENSMUSG00000057069
mm16878 ENSMUSG00000025967
mm20829 ENSMUSG00000062607
mm20828 ENSMUSG00000063981
mm20825 ENSMUSG00000048655
mm20824 ENSMUSG00000055660
mm20827 ENSMUSG00000056831
mm20826 ENSMUSG00000058916
mm20821 ENSMUSG00000045723
mm20820 ENSMUSG00000035476
mm20823 ENSMUSG00000009206
mm20822 ENSMUSG00000069125
mm16297 ENSMUSG00000026078
mm16296 ENSMUSG00000014769
mm16295 ENSMUSG00000046471
mm16294 ENSMUSG00000058520
mm16293 ENSMUSG00000031621
mm16292 ENSMUSG00000020871
mm16291 ENSMUSG00000068302
mm16290 ENSMUSG00000031210
mm16299 ENSMUSG00000029235
mm16298 ENSMUSG00000047171
mm4178 ENSMUSG00000040620
mm4179 ENSMUSG00000030314
mm4170 ENSMUSG00000063488
mm4171 ENSMUSG00000018796
mm4172 ENSMUSG00000040606
mm4173 ENSMUSG00000019715
mm4174 ENSMUSG00000028820
mm4175 ENSMUSG00000023918
mm4176 ENSMUSG00000030376
mm4177 ENSMUSG00000052915
mm8848 ENSMUSG00000053334
mm8849 ENSMUSG00000053863
mm8840 ENSMUSG00000033931
mm8841 ENSMUSG00000003345
mm8842 ENSMUSG00000030301
mm8843 ENSMUSG00000043998
mm8844 ENSMUSG00000059169
mm8845 ENSMUSG00000068419
mm8846 ENSMUSG00000021219
mm8847 ENSMUSG00000042477
mm11472 ENSMUSG00000009900
mm11473 ENSMUSG00000038421
mm3748 ENSMUSG00000025609
mm3749 ENSMUSG00000021012
mm11476 ENSMUSG00000028488
mm11477 ENSMUSG00000050530
mm11474 ENSMUSG00000041241
mm11475 ENSMUSG00000031351
mm6990 ENSMUSG00000017376
mm6991 ENSMUSG00000048960
mm6992 ENSMUSG00000036672
mm11479 ENSMUSG00000043895
mm6994 ENSMUSG00000066528
mm6995 ENSMUSG00000001910
mm6996 ENSMUSG00000027981
mm6997 ENSMUSG00000038859
mm16121 ENSMUSG00000069380
mm4283 ENSMUSG00000028544
mm16123 ENSMUSG00000049037
mm16122 ENSMUSG00000002015
mm16125 ENSMUSG00000026586
mm16124 ENSMUSG00000014075
mm16127 ENSMUSG00000028958
mm16126 ENSMUSG00000024317
mm16129 ENSMUSG00000021024
mm16128 ENSMUSG00000037086
mm9463 ENSMUSG00000026172
mm9462 ENSMUSG00000067474
mm9465 ENSMUSG00000020134
mm1679 ENSMUSG00000027550
mm9467 ENSMUSG00000058207
mm9466 ENSMUSG00000067724
mm8592 ENSMUSG00000029863
mm8593 ENSMUSG00000000278
mm8590 ENSMUSG00000024897
mm8591 ENSMUSG00000031383
mm13188 ENSMUSG00000068290
mm13189 ENSMUSG00000049498
mm8594 ENSMUSG00000042763
mm8595 ENSMUSG00000043091 ENSMUSG00000023004
mm13184 ENSMUSG00000043226
mm13185 ENSMUSG00000062149
mm13186 ENSMUSG00000062142
mm13187 ENSMUSG00000045514
mm13180 ENSMUSG00000045381
mm13181 ENSMUSG00000045013
mm13182 ENSMUSG00000063670
mm13183 ENSMUSG00000057146
mm5145 ENSMUSG00000030471
mm23705 ENSMUSG00000068250
mm23704 ENSMUSG00000068516
mm23707 ENSMUSG00000069943
mm23706 ENSMUSG00000066656
mm23701 ENSMUSG00000069471
mm23700 ENSMUSG00000069180
mm23703 ENSMUSG00000066430
mm23702 ENSMUSG00000066466
mm23709 ENSMUSG00000066557
mm23708 ENSMUSG00000067356
mm5357 ENSMUSG00000041482
mm5356 ENSMUSG00000039703
mm5355 ENSMUSG00000066969
mm10981 ENSMUSG00000043897
mm10980 ENSMUSG00000036985
mm10983 ENSMUSG00000022438
mm10982 DIP:5826N
mm10985 ENSMUSG00000028036
mm10984 ENSMUSG00000039339
mm10987 ENSMUSG00000039470
mm10986 ENSMUSG00000030117
mm10989 ENSMUSG00000002372
mm10988 ENSMUSG00000021035
mm7483 ENSMUSG00000037627
mm7482 ENSMUSG00000032872
mm7485 ENSMUSG00000049685
mm7484 ENSMUSG00000024669
mm7487 ENSMUSG00000022445
mm5352 ENSMUSG00000039103
mm5351 ENSMUSG00000028226
mm5350 ENSMUSG00000044995
mm8336 ENSMUSG00000000056
mm8337 ENSMUSG00000047610
mm8334 ENSMUSG00000024955
mm8335 ENSMUSG00000030061
mm8332 ENSMUSG00000055937
mm8333 ENSMUSG00000030726
mm8330 ENSMUSG00000067359 ENSMUSG00000067358 ENSMUSG00000067360 ENSMUSG00000054994
mm8331 ENSMUSG00000052189
mm8338 ENSMUSG00000041105
mm8339 ENSMUSG00000069738 ENSMUSG00000066568
mm7733 ENSMUSG00000037509
mm7732 ENSMUSG00000022831
mm7731 ENSMUSG00000012126
mm7730 ENSMUSG00000028961
mm7737 ENSMUSG00000030199
mm7736 ENSMUSG00000035845
mm7735 ENSMUSG00000026431
mm7734 ENSMUSG00000042167
mm7739 ENSMUSG00000039050
mm7738 ENSMUSG00000022407
mm17456 ENSMUSG00000053526
mm17457 ENSMUSG00000025746
mm17454 ENSMUSG00000059835
mm17455 ENSMUSG00000038074
mm17452 ENSMUSG00000058615
mm17453 ENSMUSG00000062977 ENSMUSG00000066315 ENSMUSG00000000740
mm17450 ENSMUSG00000060594
mm17451 ENSMUSG00000046490
mm11610 ENSMUSG00000022793
mm17458 ENSMUSG00000037628
mm17459 ENSMUSG00000024218
mm11611 ENSMUSG00000031627
mm22074 ENSMUSG00000028533
mm22075 ENSMUSG00000013083
mm22076 ENSMUSG00000025370
mm22077 ENSMUSG00000047260
mm22070 ENSMUSG00000043396
mm22071 ENSMUSG00000069283
mm22072 ENSMUSG00000040204 ENSMUSG00000060777
mm22073 ENSMUSG00000001687
mm22078 ENSMUSG00000018931
mm3520 ENSMUSG00000052337
mm17980 ENSMUSG00000022101
mm17981 ENSMUSG00000058134
mm17982 ENSMUSG00000050702
mm17983 ENSMUSG00000066854
mm17984 ENSMUSG00000063282
mm17985 ENSMUSG00000019953
mm17986 ENSMUSG00000039676
mm17987 ENSMUSG00000066172
mm17988 ENSMUSG00000005161
mm17989 ENSMUSG00000043670
mm1014 ENSMUSG00000034903
mm1015 ENSMUSG00000058997
mm16343 ENSMUSG00000016946
mm15588 ENSMUSG00000036139
mm1017 ENSMUSG00000005397
mm15582 ENSMUSG00000054690
mm15583 ENSMUSG00000037553
mm15580 ENSMUSG00000020570
mm15581 ENSMUSG00000064358
mm15586 ENSMUSG00000017176
mm15587 ENSMUSG00000024510
mm15584 ENSMUSG00000063133
mm1011 ENSMUSG00000048874
mm6460 ENSMUSG00000041135
mm6461 ENSMUSG00000020491
mm6462 ENSMUSG00000056260
mm6463 ENSMUSG00000035847
mm6464 ENSMUSG00000020672
mm6465 ENSMUSG00000059857
mm6466 ENSMUSG00000068227
mm18333 ENSMUSG00000062661
mm6468 ENSMUSG00000003198
mm6469 ENSMUSG00000007739
mm1013 ENSMUSG00000039801
mm14653 ENSMUSG00000050423
mm18606 ENSMUSG00000060451
mm14184 ENSMUSG00000044453
mm18604 ENSMUSG00000013974
mm18605 ENSMUSG00000070037
mm14181 ENSMUSG00000069293
mm14180 ENSMUSG00000039236
mm14183 ENSMUSG00000018446
mm14182 ENSMUSG00000069290
mm18336 ENSMUSG00000057990
mm14189 ENSMUSG00000021302
mm14188 ENSMUSG00000047227
mm18608 ENSMUSG00000040340
mm18337 ENSMUSG00000018727
mm18334 ENSMUSG00000024391
mm18335 ENSMUSG00000063851
mm24224 ENSMUSG00000055802
mm4909 ENSMUSG00000016757
mm4908 ENSMUSG00000020952
mm4901 ENSMUSG00000005069
mm4900 ENSMUSG00000039081
mm4903 ENSMUSG00000044912
mm4902 ENSMUSG00000052135
mm4905 ENSMUSG00000022314
mm4904 ENSMUSG00000009772
mm4907 ENSMUSG00000053153
mm4906 ENSMUSG00000021288
mm21835 ENSMUSG00000023052
mm21834 ENSMUSG00000060910
mm21837 ENSMUSG00000068527
mm21836 ENSMUSG00000056128
mm21831 ENSMUSG00000061914
mm21830 ENSMUSG00000046797
mm21833 ENSMUSG00000047308
mm21832 ENSMUSG00000063822
mm21839 ENSMUSG00000069504
mm21838 ENSMUSG00000041707
mm13232 ENSMUSG00000062649
mm13233 ENSMUSG00000031594
mm16509 ENSMUSG00000022494
mm13238 ENSMUSG00000058194
mm4753 ENSMUSG00000031377
mm22917 ENSMUSG00000049882
mm22916 ENSMUSG00000009013
mm22915 ENSMUSG00000043681
mm22914 ENSMUSG00000001025
mm22913 ENSMUSG00000058869
mm22912 ENSMUSG00000045693
mm22911 ENSMUSG00000069585
mm22910 ENSMUSG00000067122
mm22919 ENSMUSG00000056830
mm22918 ENSMUSG00000068477
mm5354 ENSMUSG00000036087
mm5353 ENSMUSG00000055102
mm13553 ENSMUSG00000002791
mm1472 ENSMUSG00000022607
mm1473 ENSMUSG00000025262
mm1470 ENSMUSG00000025366
mm1471 ENSMUSG00000031523
mm1476 ENSMUSG00000017756
mm1477 ENSMUSG00000040594
mm1474 ENSMUSG00000030029
mm1475 ENSMUSG00000020917
mm1478 ENSMUSG00000027111
mm1479 DIP:164N ENSMUSG00000021536
mm5502 ENSMUSG00000029276
mm5503 ENSMUSG00000010476
mm5500 ENSMUSG00000052557
mm5501 ENSMUSG00000049952
mm5506 ENSMUSG00000042371
mm5507 ENSMUSG00000047213
mm5504 ENSMUSG00000051596
mm5505 ENSMUSG00000015839
mm5508 ENSMUSG00000038070
mm5509 ENSMUSG00000018862
mm3838 ENSMUSG00000026827
mm3839 ENSMUSG00000060508
mm3834 ENSMUSG00000002617
mm3835 ENSMUSG00000056019
mm3836 ENSMUSG00000026413
mm3837 ENSMUSG00000019055
mm3830 ENSMUSG00000029777
mm3831 ENSMUSG00000035356
mm3832 ENSMUSG00000046991
mm3833 ENSMUSG00000022075
mm12910 ENSMUSG00000035585
mm12911 ENSMUSG00000057699
mm12912 ENSMUSG00000026377
mm12913 ENSMUSG00000060007
mm12914 ENSMUSG00000020232
mm12915 ENSMUSG00000062337
mm12916 ENSMUSG00000031373
mm12917 ENSMUSG00000050085
mm12918 ENSMUSG00000067279
mm12919 ENSMUSG00000061367
mm24519 ENSMUSG00000067568
mm24518 ENSMUSG00000066917
mm24515 ENSMUSG00000067617
mm24514 ENSMUSG00000068315
