F1PX62	F1MZA9	D3ZV26	A2BED8	Q96II8
E2R635	Q3T0X8	D3ZX21	Q9Z104	Q9HCK5
E2R111	A6QLF4	Q8R4I6	Q3TNH5	Q14315
E2RC73	F1MYI6	D3ZIP2	Q3TTJ4	Q8N465
J9P3X1	F1MB39	Q66H03	Q768S4	Q9NZ48
J9P8P7	Q32L47	Q76JQ2	Q50L42	O43432
F1PBB3	G3N1V7	Q8VID1	Q920R0	Q9BUF7
E2RL56	E1B7V5	B1H249	A0A087WRI3	P43681
E2R634	F1N330	D3ZDM8	P0C242	Q9NT22
J9NSL7	F1MUK9	F1LNC4	Q07104	O43915
F1PIP7	F1N6W1	D3ZNY8	Q8VCM7	Q6P4A7
F1PI77	A6QQU1	G3V671	Q9QYC3	Q9NS91
F1PY94	Q29RZ9	Q2IBD4	Q5M8N4	Q13608
F1PVU3	F1MLU9	A0A0G2JTB2	Q9Z1Y4	P06748
J9P592	Q5E972	A0A0G2KB52	Q8K174	Q13613
F1P8F7	G3X7S0	Q8K5A3	S4R177	Q8NEG4
E2QWU8	G5E5H9	B2GV34	Q3UZ28	O60658
E2RK77	E1BL26	A0A0G2JXH2	Q8VEL2	Q8N1F7
E2R231	Q08DJ7	Q63621	P62509	Q13557
E2RPZ6	F1MQU9	D4A068	Q80W45	A2RRP1
F1PQ92	P61602	D4ABP9	Q9CZB9	Q6T424
E2QYK3	E1B9W3	D4A659	Q3URU2	Q5VTL8
E2QUE7	P15246	F1LN75	Q9ESZ8	Q6EEV6
E2RIR2	Q2T9T7	D3ZQB7	Q99LG0	O96000
F1PLX4	E1B8A0	D3ZKF6	Q8R1D1	Q9UHH9
F1Q3I3	F6R2Z7	B1WBU4	Q99MK9	P07355
E2RNE7	F1MRT7	A0A0G2K3F6	G5E8X0	Q96EU6
F1PWH3	A6QLV1	G3V6G9	Q499X9	Q92530
E2R930	Q05717	F1LY25	Q8BX43	Q9BQI0
J9NZV6	E1BNR9	P63259	P59672	Q96T25
E2QX02	F1MVD6	G3V6Y1	Q9CQW3	Q99643
Q30437	F6R6Q1	G3V8V1	Q8CIW5	P02768
F1PV75	F1MZR0	D4A190	Q91ZR3	P08195
E2R858	D7R519	Q08850	Q9JMK2	P06401
E2R4D6	F1N686	F1MAD0	Q9D7X1	P46098
P13206	E1B8V4	D3ZP29	Q8CGR4	Q8IZT6
J9JHH0	E1BDD0	Q64716	F8WHU6	Q15155
F1Q3M6	F1MNK6	P97697	Q9CXV1	P55851
E2QXG3	Q32KZ8	Q6PCU0	P70265	Q92982
E2RG87	E1BJ27	A0A0H2UHS4	E9QNP6	Q969N4
J9P0H3	E1BIN8	D3ZTX1	O08712	O43760
F1PGZ6	Q3MHM8	D4A7H1	Q920B0	P0C7W6
F1PUH4	A6QLP8	Q6AYG2	O54992	P61246
J9P2S2	E1BD55	D3Z8R8	Q78YZ6	Q8NCC5
E2RM54	F1MH61	D3ZYB7	Q9EPK7	O75818
J9NVI6	E1BB19	A1L132	Q8JZY2	Q8IZY5
J9P1A6	Q3T133	B2RZ52	Q91ZP9	Q8IYB3
E2RGP5	F1MB19	F1LZB6	Q6A037	Q96SN7
E2REY4	F1N672	A0A0G2K1V3	A6X8Z5	Q96KX2
E2R079	A2VDZ0	P61765	Q8BUY8	P09874
F1P8X1	F1N429	Q76FN2	Q3UHX0	P23582
A0A0B4J199	F1MW46	G3V6U3	Q61247	Q15506
E2RAV6	F1N136	B0BN52	Q9DB27	A5PLK7
E2RJ05	P62958	D3ZZ37	Q32NY4	Q9BXB5
J9P9N8	E1BFI5	A0A0G2K5F1	Q91XE9	P51149
E2RD62	A0JNN2	M0RBS0	Q8BMJ8	Q9H6R7
F1PGD4	G3MYM4	D3ZT98	P63318	Q9BT92
F1P8T1	F1N2R2	Q62857	Q62504	Q13002
F6XEY1	E1BIV8	Q5Y4N8	Q9Z0N1	Q75MT9
F6X6D7	E1BLR5	D3ZZT7	Q9Z117	O95319
E2RJH0	F1MYA8	F1LRK9	Q9CQ92	P19961
E2QW11	A6H7E9	D3ZQM3	A0A0R4J097	Q03001
F1Q4K1	F1N0I2	Q6P2A5	Q91X84	Q9H0U4
F1PPS9	F1MBK4	D3ZKN0	Q69ZK0	Q2MJR0
F6XVZ6	Q6QRN8	Q6EV70	Q9JIP6	Q9UL01
J9PAZ8	F1MS09	P07153	Q5DTZ6	Q13470
E2QUP6	Q3ZBE9	D3ZHG4	Q8K4L6	P49760
E2RB01	A0JNA1	E9PSJ1	Q9D1F5	A2VEC9
F1PAT7	F1MIU5	M0R5N4	Q9DAG9	Q9Y6N9
E2RM61	F1MBP8	P84025	A2AEG2	P19237
F1P870	E1B838	F1LR11	O88634	P56747
E2RES8	Q29455	F7EWN2	Q8CGT6	Q99622
E2QW67	F1N127	Q6AYG0	Q9D967	Q7Z3I0
E2R193	F1ML71	Q6MGC2	A0A0R4J0V4	Q7L8C5
F1PB84	E1BIL6	B1H244	Q5SSG5	Q8WWY3
J9P4D9	E1BGH2	D3ZW60	Q8C779	P19544
F1PUV7	A7YWI9	E9PTT2	B1AZF3	P79522
E2RK34	E1BGQ4	G3V6E9	P52623	Q06136
E2R4V1	E1B905	P37089	Q8BVW3	Q7Z601
E2RP62	G3MWS7	Q4QR76	E9Q7P9	O95992
F1Q117	F1MFR5	F1LPY2	Q9D4I2	Q8IZP2
E2RDR8	Q1ECT8	B2GV52	Q8VCU1	Q8NHX6
E2QU43	A7YWK3	D3ZMM8	Q6GTR6	P07339
F1P8Q5	F1MUI3	Q5U2P0	Q8CB44	Q15850
E2QY96	G3N2Y7	M0R5K7	Q6P2L7	P23769
F1PT49	F1MNB3	F7FJQ3	Q8R1B0	Q9NYY3
E2QY62	E1BQ18	A0A096MJ78	Q1EHW4	B4DU58
F6XNW6	E1BHZ5	D3ZCI5	Q923Q2	Q9UBX0
E2RCV5	A5PKG2	D3Z957	Q91YI6	P35659
E2RJB9	E1B7G9	D3ZUD9	Q6NXJ0	Q8TAI1
J9NZM1	F1MYV5	A0A0G2K9E3	Q9JMB1	P57727
E2QWY1	A6QLA0	B5DFH5	Q9QXZ0	P40937
J9P0K9	F1MM51	Q9EP88	Q6PDF3	P31994
F1PE59	F1MVP0	Q29YR5	Q920F6	Q6P4D5
E2QUY3	A5D7T4	B2RYS6	Q7TPS3	Q6FG55
F1PBJ5	Q2KJE7	Q76MT4	Q9ERA0	Q9Y3D9
E2RKS6	Q17QS6	F1LZZ3	Q5U4E0	Q15849
J9P2E6	Q32L37	D4ACU5	Q9JJ93	Q99102
E2R4Q0	P06504	M0R884	Q8K3M5	Q92546
F1PQB7	E1BF73	D4A7Q2	Q9D173	O60883
E2RTC9	P82918	F1M928	Q99KC8	Q53GG5
F1PGE5	H9KUU7	D3ZTK9	E9QPK5	Q96GZ6
E2QXW6	F1N724	O54701	Q8CIX8	Q9BRQ8
J9P2C1	Q2M2U4	O54822	F8VQM5	Q96KP6
E2RJ33	E1BLK1	Q5BJT2	Q4V9Z5	A8K3C2
F6UWF6	F1N7U2	F1LQC7	E9Q2M3	Q8WYD7
P79145	Q2YDK1	P45352	Q91XU3	Q9P013
E2QW13	G5E573	F1LS74	Q64191	Q9UPN4
J9PAC0	Q3T0X5	A0A0G2JT35	F6WV21	Q13480
F1PN47	F1MFD4	Q9ES53	Q8VCK5	C9JH25
F1P9H2	F1MLD0	F1LTS3	Q6WVG3	O94856
F1PST9	E1B9S9	D4A1W6	Q04744	Q8NA70
E2RDY2	E1BMM6	P18484	Q9Z237	Q9BXI3
J9NSC0	Q32L41	M0RDJ4	Q0VG62	Q9UNH7
F1PWN3	A5PKF8	Q5U2N0	Q91VJ5	Q8N954
F6Y2F0	A8E4M9	Q4KLM7	Q91Y97	Q96EB1
E2RNF2	E1BN34	D3ZHC6	A2APZ1	Q86SG2
J9NUN9	F1ML86	A0A140UHX6	Q9D938	Q8WVL7
E2R4A5	F1MX51	A0A0G2JSI8	B2RUP0	Q9Y6B2
E2R7S4	E1BAR2	A0A0G2K2B7	Q9QYE9	Q14994
F1PL37	F1MQN2	D4A453	Q56A07	Q9Y282
E2R060	F1MKP6	D4ADY0	Q9QUK6	Q9Y5C1
J9P8D6	G3X6E6	Q80Z29	Q9DBL7	B3KPL7
J9P4N9	E1BQ21	M0R8R8	Q8BHZ0	O43827
E2R242	F1MUK5	F1LSH3	Q6P9L4	Q5JU00
F1PZF9	G5E526	Q2TGI8	Q8BH31	O14907
E2R0B7	F1MXK6	F1LUQ5	Q8K3H0	P46779
H9GWP9	E1BK85	D4A0P5	P30204	Q9NX38
F1Q382	Q32PD8	F1M944	Q8BGD8	Q9UQC9
J9JHJ7	F1MTG3	D3ZBD0	Q9DBM0	O60508
E2QXB6	E1BF96	D3ZQL4	Q3TD35	Q8IV13
E2RIU2	E1BDH9	F1M7F7	G3X8Q8	Q12872
J9P2R5	F1MMM4	R9PXT8	Q8CF98	Q9NVR2
Q32KH0	A6H730	Q68FR5	Q9QVP4	Q71RC9
E2RB52	A6QR37	Q9JJI7	G5E899	O14807
E2RHQ5	A6QQ15	D3ZZV0	Q3V0J1	Q5VZM2
J9P260	P81103	D4A7P2	Q8BJQ9	Q13884
E2R6E5	G5E5A0	A0A0G2JT26	G5E845	Q59ET3
E2R928	E1BBV6	Q07523	A2BFA9	Q9BZE9
E2R002	Q29RN8	B4F7F3	O70572	Q86XD5
F1PD90	Q1JQE5	Q3KRE3	Q91VF6	Q92930
E2R4M9	F1ML56	D3ZIU8	Q8C5W3	P36382
J9NWB9	F1N1D1	M0RBJ0	E9Q5L4	P17010
F6V6A9	Q3ZBI6	G3V7D9	Q9WUA6	P49023
F6USB7	F1MUD4	Q497B7	Q8VHI6	Q8WTW3
J9P0C1	E1BKC0	P41123	Q8R1N0	Q8NBZ7
E2RDL9	Q0P594	P47819	Q922U1	Q7Z4S6
E2RG16	E1BE45	D3ZIV9	Q80UK0	P12694
J9P4K9	A4FV12	Q5U2Y6	Q9CWG9	O14503
F1PGC7	F1MKV3	Q9EPZ7	Q9CPW2	Q2TAP0
J9NZS9	Q32PH1	P35467	Q80UG8	Q7RTR0
F1PWH8	A6QPT6	P18596	Q9JL62	Q12860
J9JHJ1	Q29RH2	G3V6Q4	Q80ZI2	Q9UKN7
F1PD85	A2VDU5	D4A129	Q60604	B4DN52
F1P7M0	Q32S26	D3ZTF6	Q80VL3	A9UF07
F1Q2S4	F1MIM3	M0R9X4	Q9DCN7	Q8N274
F1P6K5	E1BPK9	F1LMU7	G3X9F1	O75363
F1P630	Q3SZ41	P35815	Q7TMY7	P49137
J9PB09	F1MZR7	Q9JJ50	Q7TQN3	Q92791
F1PBH2	P62871	F1M7T6	Q9WTN3	Q9UJC3
F1PLI0	Q148H5	A0A0G2JSZ9	P34927	P23526
E2RF27	A6QPC0	D4A3I8	A2AQR4	Q96N19
E2R292	Q58DG5	Q9Z158	E9Q8V6	P05976
E2RJP3	E1BAT5	Q4G055	O08641	Q15084
F1PGN5	E1B9P1	P0C0K7	Q8JZL3	Q9H2X3
E2R7C2	A2VDS0	A1L1L6	Q91WK0	A6NEK1
F1PM59	F1MZS3	D3ZMU0	Q9JLM9	Q9H2G2
J9NYA7	F1N2I3	F1M8M1	Q9D2P8	P60201
J9P7R8	F1MZP2	F1LQN5	Q9JM58	P08123
F1PEU2	A4IFU8	G3V9R3	Q8BHZ5	Q7Z443
E2R7Z7	F1MQH0	P36506	A2AJ15	Q8TE82
F1P963	G3N1E4	Q6AXU8	Q149F3	Q9Y5X1
F1PSJ0	Q2HJ25	D4A1T9	Q8VIJ8	Q8IYQ7
F1P669	Q1RMT3	P97526	Q8R509	O00237
E2RRW8	Q9TU73	D4A8B0	Q8C0T0	Q92748
F1PCZ9	F6PN19	D4A7E7	P97801	Q9NSI8
E2RLV5	E1BCF4	D3ZRH4	Q9QY05	Q8IZ21
F1P905	Q0VCH8	E9PT87	Q14BN8	P0CG13
E2RD87	G3MZC8	B0B1T9	P51437	Q03518
E2QZA1	F1MB71	Q9QYV1	Q99LM9	Q13442
J9P2X2	Q9N1Q8	P83941	Q812F8	Q8WYQ3
E2QXH0	F1MPU1	A0A096MJ41	Q9CV28	P61969
E2QWB2	F1MAX1	D3ZQ82	Q924Z6	P52565
F1PN20	G3X7K6	A0A0H2UHW2	E9Q4D1	Q9NRY6
F1PFU6	A6QR22	M0RCI4	Q8CI85	P10745
F1Q1Q4	F1MQC0	A0A140TAI4	A2RSS2	O60353
J9NUQ5	Q5E9G1	P04652	Q9D7J6	Q3B8N2
E2QVH6	A7Z086	D3ZHE1	Q8K136	Q9UBS0
F1PIX7	Q58D08	D4AB33	Q8K274	Q9NVI1
E2QYQ3	F1MFH1	G3V810	P59034	Q32MK0
F1PA39	F1MEG3	D3ZXB1	Q9DCH2	P10644
F1PK46	F1MMY6	P97887	P63163	O75695
E2QTD7	F1N2G1	P56603	E9QPS1	P20155
J9NX32	G3N2T5	Q5XHZ8	J3QN89	P31943
E2RM73	A6H7F5	P19377	A0A0A0MQ89	Q9NRL2
J9NX02	G3MXD0	O55096	Q924B0	Q9Y349
E2RLT9	F1MI67	D3Z9I5	P48299	O95210
F1PB74	G3MYW7	A0A0G2JW21	Q9CQB2	Q8IYE1
E2R2N8	F1MSJ5	O88637	O70337	P13284
J9NU40	F1N7G3	D4A1U5	G3UYS5	Q5VSY0
J9P3H9	F1N1M0	D3ZTA4	Q6LCE8	P10746
E2RP05	Q3T087	G3V6D3	Q3U1J4	P61247
Q6J3Q7	Q08E62	D3ZXB7	Q60751	Q9Y2S6
E2RF39	G3MWG6	A0A0G2JT12	E9Q6H3	Q13015
J9P0H5	F1MD36	F1LM32	E9Q7N9	Q8IUB3
E2RIL1	F1MTT6	P20961	Q761V0	Q5VTT5
Q5R1P3	E1BJH3	D3ZP89	Q8K4P8	Q8IV63
E2RRG5	E1BE91	B3DM92	O08675	R4GMX3
F1Q4J8	G3MZ58	A0A096MJ37	Q02105	O75069
J9P675	E1BKU0	F1M707	Q8BM39	P35408
E2RPM2	F1MZW2	D3ZXE2	Q6R0H7	Q9P2R6
F1Q0X9	F1MIZ5	Q5EAP0	Q8R3B1	P00326
E2RJ80	F1MWA2	Q68FZ8	Q5F2F2	Q9UJV8
F1PAQ6	F1MRP1	D3ZQY5	Q91VF5	Q6IAL2
F1PK03	F1MSC3	D3ZAC0	A0A1Y7VLC3	Q9H368
J9P8X3	Q58D06	F1LWT1	Q80WJ1	O15504
F1PIC6	G3N319	A0A0G2K7X7	P29621	Q86Y39
F6XGB4	Q3T020	D3ZLM7	A2TJV2	P09529
E2QUY9	F1N7Z5	P49911	Q8K0N8	Q8IUK8
F6XGL4	E1BFJ4	Q6AYT5	Q9R1R0	Q9H5V7
F1PXA2	F1N3Q4	D4AAI9	F8VQE9	Q8WUB8
E2RHD5	Q5E993	Q5M882	E9QPX3	P06241
P40321	E1B7S6	G3V6X5	Q62520	Q8IYI6
F1PGT0	F6QPE0	A0A0H2UHD3	Q62443	Q9UN81
F1PZ86	F6QQ19	D4A2W7	Q8K009	Q96AZ1
E2QSB9	E1BC91	P12368	P07742	Q6FGL6
Q95JD5	A5D7K4	B1H294	Q0P5V9	Q9H6D8
E2R2L6	A0A140T8C4	Q5PPL3	Q9EPM5	Q2KJY2
F1PGQ8	A6QQ10	D3ZU42	P97429	Q9UI08
E2RPY0	Q0VCJ2	A0A0G2K995	Q9CQM2	P33076
F1PYX9	Q95323	Q5M969	E9QAB6	Q9UBQ7
E2QYG4	F1MFH7	G3V6D9	Q9QYS1	O95278
F1PBN8	Q2TA35	G3V6L0	Q8BHI4	Q9ULK2
E2R126	Q01314	F7FDF2	P15327	Q9UBF2
J9NWK4	F1MP86	A0A0G2K3D9	Q80U36	O00175
F1PFM7	Q3MHI7	A0A096MJ32	P31809	Q07960
F1PCF9	Q5EA75	Q9ESM0	Q91VY6	O43688
F1PKD5	F1MXW1	F1M090	B1AYB6	Q9BSK0
E2RLC1	E1BBT0	Q5XI57	D6RGP3	Q13163
G1K2B0	F1N3J7	Q5D1Z3	Q69ZK5	Q99698
F1Q0R8	E1BPM5	B0BN94	O88621	Q86TH3
F1PTM6	Q2KIG0	P0C588	Q8BJ05	Q11201
J9P6P9	E1B8S3	P14630	Q9CY19	O14709
F1P967	F1N2C7	Q5U2T6	A0A0R4J045	Q96D98
F1PLI9	A6QR05	Q9R1T5	Q3U564	P24298
E2R9L9	E1BJ67	D3ZIM3	J3QPU6	Q01524
F1PP29	Q32L76	B4F7F0	Q3U8C4	P09105
B3XXF2	E1BG08	Q9Z1Y3	Q58FA4	Q9H000
F1PTH2	F1MN91	Q8K586	P70232	A0A0S2Z6I7
F1Q1B9	Q5EA86	F1M1H0	Q9JHQ0	Q8NI51
F1PG10	E1BEN6	A0A0G2JUJ3	Q9Z100	Q9Y264
E2RAA7	F1N1K6	A0A0G2K9P9	A2CG28	P10070
E2RLN7	F1MZ06	F1LQU1	Q2M4I6	Q9Y2B1
E2RQV0	F1MRK2	F1LPJ7	P58501	P01127
E2RL15	Q0VC98	B2RYH9	Q5XG73	Q96L08
E2QU72	Q29RI2	G3V7U5	P39098	Q9UI42
F1PS13	M0QW12	G3V6W1	Q6PDZ2	Q9Y2B0
E2RK22	Q3ZBR5	D3ZHQ5	Q61614	Q9Y333
E2QYX5	F1MQX7	D3ZZL8	Q8K3R3	P31277
E2RFD0	F1MER6	A0A0G2KA92	O88572	P52701
E2QV23	F1MM32	Q66HG3	Q8VCM3	Q7L9L4
F1P9H9	Q17QJ4	Q569C9	Q8BH48	Q9NVM6
F1Q3T2	Q2KIQ8	P48450	P01738	Q8NHP1
J9P118	Q3ZCI6	B0BNM4	Q80VM4	B0YJ81
F1P7N5	F1N0X0	D4A6F2	Q80U19	Q14442
F6V9U0	F1MYQ6	P01161	O35348	Q8NC26
F1PB54	F1MBU3	D3ZMR2	O70200	Q4W5N1
E2RS61	F1N5M4	Q66HK5	Q8BHL6	Q1JQ76
E2RDR0	G3X6W2	A0A0H2UH97	Q8VCE1	Q96H96
F1PS72	E1BIX7	Q5U2P3	Q99K99	Q5CZA5
F1PVT7	E1B8Q1	G3V9Y1	Q56A06	Q7KYM9
E2RRD6	A6QP39	Q9R0E0	Q8VE18	Q9P2R7
E2RB66	Q0VC58	D3ZIK8	Q9DBB4	Q9HD42
F1PTC7	E1BB54	Q499S2	Q8BGA8	Q9H3C7
J9NXY1	Q17QE6	Q5U305	Q9DAU1	Q5XUX1
E2RIR0	Q3SX33	A0A0G2K7Y5	Q61824	A6NFY4
F1PIY9	F1N032	Q9Z2Q7	E9Q444	O60512
E2R9Q9	F1N4K7	D3ZDX7	A0A0J9YV20	P12004
E2RDA6	A5PK19	D4A631	Q8VDL4	Q9Y619
J9NWF7	Q2KIR8	G3V7N1	Q3ZK22	O76024
J9NU45	F1N162	A0A0G2JTM9	Q3TR20	Q96PV6
E2R4F0	F6RP33	O70150	Q3UHN9	Q8IZP6
J9JHS8	F1N514	O70441	Q7TN13	B7Z3V1
E2RP48	G3MZ41	P28470	Q99MY8	Q6ZVT0
F1Q2Q6	P20616	B5DF46	Q3TUF7	Q5U5X8
E2RPF2	F6Q4T4	D3ZPJ9	O55095	Q7Z5K2
E2QZB3	E1B7S1	G3V8R3	Q6P2K6	Q13224
E2RR35	O62647	D3ZDT0	Q9D3J9	O95248
E2R3L3	F1N4I0	Q4V8L0	Q8R0A0	Q9NZ56
F1PV92	F1N5Q5	D3ZEH2	P09813	Q96AP4
F1PK32	A7MBD6	F1LR78	A0A1B0GRM2	Q12981
E2RBL7	F1MPJ9	Q5I0C5	Q9JLF6	A4D1S5
E2RAA9	Q0IIE5	D4ABI4	A2AMM0	Q14CZ8
F1PFR8	F1MFK1	F1LV79	P83870	P50053
E2RHX1	E1BNG7	D4A131	Q7TMI3	P42677
E2R1A5	E1B7Q0	A0A0G2K9S3	P21855	Q8IYP9
E2RM77	E1BAC1	G3V897	Q3U8Y1	P37231
F1PV30	E1BJZ1	P27049	Q8C1E7	O15342
J9NTQ0	P55803	P11275	Q6P3Y5	P06276
F1PWT9	E1B913	F1LZL3	Q8K023	Q8IYN2
J9P139	E1BEY2	Q6AYJ9	Q7TNI2	Q8N6X9
E2R3F8	E1BNF2	Q66HH3	E9PYA3	Q96KR1
E2QXK2	Q29S17	M0R7F6	E9Q3D4	O75340
J9PBA4	F1MM03	A0A0G2K2P3	G3X932	Q92556
F1P850	Q24K06	D3ZF49	Q8BGT0	Q9NRD0
F6UXK6	F1MY93	A0A0G2K344	Q6PDC0	Q96BZ8
J9P5D0	F6R129	F1LV17	P58021	Q9P260
F1PJ96	F1N5T9	D3ZR22	P09027	B9ZVM9
F6UTF3	Q3SYZ8	Q6P754	Q8BRB7	Q96A19
E2RJD1	F1MLT0	Q80ZD7	Q9D9X6	O14958
J9P796	F1MIH0	Q811Q5	Q9QZX7	Q63ZY3
J9NXA2	Q32LN7	F1LSM0	Q8BPA8	Q9BQ61
A0A0A0MPD4	F1MJ71	D3ZZJ4	F8VPK8	Q9NVX2
J9NVL1	F1N0K4	Q5I0J2	A2AQE2	Q9UEE9
E2RSL8	F1MVJ8	Q4G072	O70354	Q8TAM1
F1P9H3	F1MJR4	P22449	Q0KK56	Q9UHQ7
F1PNJ8	F1MDA1	B2RZB0	P58022	P07332
J9P9G0	E1BKG4	D4A644	Q9CSH3	P20674
E2R5G4	F1MG89	D3ZW78	Q80T91	Q14135
F1PSR4	E1B9R1	D3ZDM5	Q8K1T1	D6RC68
E2RG38	E1BKC2	Q91XV6	Q9D805	P51854
F1PDN6	F1N6W0	D4ABM3	P0DP28	Q8WX94
F6V114	Q3ZBN0	P70470	Q8VIF2	A1IGU5
E2QTT8	Q0II48	D4A4W1	Q8BN59	Q9H4A4
J9P7W8	E1B7T4	D3ZHX3	Q64336	P0DN26
F6Y6V7	F1MNH7	D4A380	Q9Z0W1	Q9NZL4
E2QYN4	A4IFR5	P59895	Q9DAA6	P46527
J9P996	A6QR00	D4A8L3	Q5DTX6	P0DJD0
E2RLE5	F1MT78	P54256	Q8K592	Q8IUK5
F1PWB9	F1MZP5	O08701	Q9D979	Q6PIY7
F1P903	E1BDF8	G3V7J9	Q8C790	P23610
E2R8W0	F1MMI6	P02317	Q8R1K4	Q9UI46
E2RBF9	A5PJV8	F1LPM1	Q8K120	Q9UI33
E2RQ93	F1MME8	B5DF65	Q9CUX1	Q9NWL9
F1Q0I8	P43033	F1M154	Q8BGQ2	Q96PD7
F1PME4	P01001	B1WBN0	Q3TRE0	Q1HG43
E2RBH7	F1MN50	D4A7T7	A2BFB0	Q8N461
E2R3P2	F6Q087	Q499Q4	P16330	Q9HD26
F1PBG5	F1MFZ7	Q5U2Y1	P04627	Q96PY6
E2RD26	E1BI46	F1M495	Q4KML4	Q9UKG9
F6XPQ5	F1MP12	D3ZTA2	B7ZC94	Q99828
F1P6B3	F1MMR5	F1LR51	Q8BGE7	Q9NQ35
F1Q4I8	Q0VCZ5	Q63362	Q9D1B9	Q9Y5H5
E2R9L7	F1MXI9	D3ZTB4	P11911	Q96I99
F1PA48	F1MH27	P97532	Q8K1N1	Q3KQV3
E2RM51	Q2TBI8	D3ZG57	P29812	O60336
E2R9S3	A7Z037	G3V8N2	Q0VBD0	P61923
F1PHB6	E1B9T1	D4A1V7	Q9QXA6	P23434
F1PZ96	P0C914	Q5XIP9	Q00915	B4DWP8
F1P8T3	F1MIU7	Q8K589	Q9ERS7	E1B2J3
F1PY28	E1BMK3	B1WC48	Q6GU68	Q7Z4F4
F1PXZ3	F1MXH7	B5DF09	O88866	Q96QP1
E2RC36	O77801	D3ZZT3	D3YXN8	A1A5D9
E2RJW4	G3MXB1	Q9JJK4	O35085	Q9NS64
Q5J7U3	F1N0C0	A0A0G2JUS6	Q8CAS9	Q7RTN6
E2RMD9	F1MNA3	D3ZLN7	D3YW47	Q96LY2
E2RHE2	A7Z044	F1LRV6	Q91VZ1	B5MCY1
E2RG99	F1MIJ4	F1M158	Q3UNA4	Q92974
F1PZX4	F1MJ73	D4A898	A0A1W2P6E1	Q2TBA0
F6UWL4	F6Q5U0	D4A934	P35601	Q8NFH5
P12278	Q3SZX9	D3Z9B7	Q9D8D0	Q9Y251
A0A140T8D8	F1N5K1	Q8CH92	Q7TMR0	Q6IS14
F6X690	Q0VC54	P63138	Q9WTL2	Q9BRQ0
J9P8P2	F1MMU6	D3ZF03	O88495	Q5H9J7
E2RR13	G3MYV2	A0A0G2JT50	P70445	Q02386
F6XBW7	E1BN35	Q6AY33	Q6P6M5	Q8TCG2
J9PAI9	Q0VD56	D3ZEI4	Q9EPW2	Q9H2P9
E2RSX7	G3N1N5	Q5RK25	Q8BFT9	Q9UHX3
J9JHY8	E1BAT1	D3ZFA2	Q8R182	A6NKD9
J9P885	G3MXM5	G3V7H4	Q8BMS2	Q7Z6J2
E2R0N3	A6QQM1	A0A0G2JUJ7	Q8BGB2	P28358
E2R7B0	A6H7C6	Q9QWM1	A0A0R4IZW4	P30533
E2RB51	F1N0F7	Q4V8J4	Q8CI37	Q6P3V2
E2RMR5	A5PK70	G3V7D5	A0A1Y7VMP7	P46977
E2R2C8	Q3SYY1	Q5FVM5	P20109	Q9BV10
F1PEK2	A4FUD1	Q3KRD5	Q8CIK8	Q86U38
E2RFR9	F1MKX9	B2RZ50	Q3UZA1	O60741
F1PFC2	Q0IIH2	P05964	Q8C0D0	Q8IYA8
J9P919	F1MYX2	Q1XID0	Q8C985	Q9NYP3
Q5TJE6	Q3MHF2	Q5PQQ9	F6UL52	P07900
F1PZ83	F1MTK4	Q5PQM2	Q91VK1	Q6P2D7
E2RCB0	G3N010	D4A281	Q8C5S7	Q8NF86
Q34101	P00735	Q5U334	Q9QX98	Q8WW24
F1PSM6	A0A140T879	D3ZHW0	Q07646	Q6ZSY5
F6XZH6	E1BMT3	F1LRY0	Q9CXJ1	Q96IT1
E2RGL0	F1MDC2	P54842	A0A0R4J1N2	Q08881
F1P7K3	F1N194	A0A0G2JXY1	Q06335	Q969G5
E2QXW9	F1MYF8	G3V7C9	Q62231	Q6FHJ7
J9P6I4	A5PKK4	Q6AY23	Q7M710	O14678
T1ECS1	E1BM81	D3ZW02	O88819	Q6PK56
J9NU66	A7YWE2	D3ZSV6	Q8K3J1	P54727
F1P973	E1BCP8	Q4KM95	Q9D2W7	Q15238
F1PFN6	E1BKZ3	D3Z9Q6	P22387	Q8WW36
F1P9Q1	F1N7E8	D4A9J4	A0A140T8I9	Q8NB50
F1P6L7	E1BFP0	F1M4K6	Q9EQ08	P14060
F1PC18	F1MEM4	A0A0G2K366	Q9CRT8	Q02878
E2RSD3	Q32L27	D3ZY91	Q8K375	Q8IW00
F1PEJ3	E1BHD8	E9PT37	Q920C1	Q13790
F1PY82	Q5EA88	Q6Q0N3	Q8VBT0	P0CI25
E2RK65	F1N4B0	Q63802	H3BL46	Q14764
J9NTI9	E1BNJ1	F1LRA5	Q8K0W9	O94811
E2QX50	Q1RMW4	M0RC54	Q91Z38	P05783
E2RIP1	F6QNX4	Q66HA7	Q9CQT1	Q96IR7
F1Q4B9	E1BEB7	D4A6C4	Q9JHW4	Q6ZNP1
F1Q2W2	F1MCR9	G3V9L2	Q8K0T4	Q71UI9
E2RT37	F1MI25	A0A0G2JVM7	P35569	Q15847
F1PWV9	Q32LN3	D4A758	Q9QXT6	Q9NZH7
F1PCM5	E1B8Q3	B2GUZ6	Q8BHG3	O14511
F1PPL6	E1BGH8	D3ZWV0	P46656	O60858
E2QT06	A6QQP4	P21818	Q3TL44	Q99683
J9P1Y0	E1BHM6	A0A0G2JW15	Q91W16	Q13103
Q5DWN0	F1MR96	Q6AYU4	Q9CQ02	Q8NFH8
F1PG71	E1BEP2	D3ZXP8	Q50H33	Q9Y4B3
