E2R9K4	A6QLA8	P35739	P12023	Q5EBL4
E2R935	Q3SX06	Q8K3X8	Q9CWY4	Q56P03
J9NSJ8	A5D789	G3V6K8	Q7TN02	Q96G04
F1PDP8	Q0P5E1	P02091	S4R177	Q96P16
F1P8D2	Q05KI3	P22199	Q61542	Q9Y2P8
E2QWD9	E1BG63	D3ZJN4	Q64GA5	Q2M2E5
J9PB91	P79331	A0A0G2K3B2	A0A0B4J1G6	P01009
F6V9Q0	F1MSC3	Q5XIU4	Q9DA59	Q99705
E2RRV5	A6QLF6	G3V7K2	Q8C7R4	Q8N8U9
E2R4T0	F1ML66	D3Z8A8	Q8K2D0	P04054
E2QWU9	E1BFJ3	D4A0E3	Q6NT99	O43516
F5CBP3	E1B7W0	Q5BJY8	Q8R4B8	Q75N03
J9P3A5	G3MY14	D3ZMR2	Q9QUM0	O43194
F1Q3B4	E1BK37	D4ABK4	Q3TRE0	P57738
J9P2S0	Q2T9N4	A1EC95	Q922R1	Q8IZL9
F1P8K1	E1BL68	B2RZ17	Q91VT1	Q96L34
J9P281	G3N0B6	A0A0G2K3J3	A0A0R4IZX2	Q9BQ49
E2REY0	F1MKS3	D4A2P1	Q9JI44	Q92993
F1PA65	F1MD22	B1WBR1	Q8VBU8	Q99627
J9PAT1	F1N5P6	A0A0G2JSJ0	Q91YA2	Q9BQ48
F6V1Y9	F1N6V7	P13086	P11928	P33032
F1PYI2	E1BJC4	F1MAA4	O35144	Q8IWI9
F1PM91	Q32KW0	G3V6K3	P53798	P24387
F1PLA0	A7MBH5	Q2YDU8	Q19AB2	Q8WYE2
E2R7C2	F1MC68	Q5PQT7	Q9JLM4	Q9NY28
E2R4K2	Q2KIR5	Q62940	Q61578	Q9Y426
J9PAZ6	Q0IID5	Q02293	Q6GTH9	Q13258
E2RS53	A0JNK9	E9PSY1	Q9JI60	Q8WXF3
J9JH96	G3MWR0	A0A0G2JUT7	Q7TN83	Q8N7E2
E2RMQ3	E1BE64	A1A5P4	G3UX29	Q9NSA3
F1PUH4	Q58D73	A0A0G2KAF8	Q8K1T1	Q96AQ7
J9NRZ6	Q5EAC9	A0A0G2JVL6	O35309	Q92841
F1P981	G5E605	D4A3T4	D3Z486	O95259
F1P8R9	E1BHR6	D3ZWK0	A0A0A6YW72	Q8WXH4
F1PNN6	F6RDV6	D3ZSS5	Q62559	Q9NP97
E2RFN5	F1MTF3	Q08464	Q91YX0	Q9NZK5
E2RI67	Q0VC82	B1H248	P16045	Q9UBR4
E2REI1	A4IFI6	Q5HZE0	Q8C261	Q9UHQ4
F1Q462	A4FUX6	D3ZV40	Q9D483	Q9H4Z3
F1PC09	E1B7I9	F7FD47	Q922Q2	Q9C086
F1PI88	F1MBM4	Q4KMA8	Q64458	Q8TAL5
J9P095	F1MMV5	O88801	Q3TMW1	Q9H4B4
E2R8J0	A2VE05	Q9ERC5	P43432	Q9BZE7
Q5J7U3	Q5E9T4	P01946	Q8K2Q5	Q86YQ8
E2RQ65	F1MTR1	Q6MG14	Q9Z1W5	Q96D30
J9NY21	Q2TBK4	B1WBW7	D6RI17	P48736
E2RJJ7	Q58DT5	P0C5H6	Q99NE9	Q8IXQ6
E2QY18	F1MUT4	F7EWN2	P51827	P05413
E2RAS3	E1B9L7	Q56A18	Q3UWE6	Q10469
E2RLY4	G3N078	E9PT49	P18181	Q96RS2
E2RJ01	F1MNY2	D4A039	Q8R127	Q6FHJ7
J9P7C4	Q6QRN6	P10499	Q64520	Q8IWU5
E2R1I6	E1B7L8	F1M7H6	Q91WE9	Q9NWH7
F1PF65	E1BIE6	Q4V8C3	Q8BHH8	Q7Z7K2
F1PKB2	E1B756	Q9WVB1	P01897	Q8IY17
J9P1R3	F1MTN9	D4A3B6	Q9WVS7	Q9Y365
J9NXU3	F1N4K1	P60203	Q9D0M0	Q9HBH0
F1PQY9	F1N193	G3V7K9	F8VQ52	Q96DW6
F1PDN5	F1N4Q4	B0BNH4	Q8C828	Q02094
E2REG8	E1BM89	D3ZA32	H3BLF8	Q9H665
E2R4W9	F1MPS7	G3V909	Q07235	P25791
E2RHC0	E1BIW8	Q6IN44	P12968	P18075
E2RM30	F1N4L8	P81128	O88188	Q9BXC9
F1Q0L2	Q3SZE3	Q99NI4	G3X9T5	Q6NUJ5
E2R058	F1MGF9	G3V7C1	B2RUR4	Q8TBP6
J9P041	F1N2L5	D3ZAT9	Q8CEF8	O95199
E2RAQ6	E1BNS0	F1LYL9	F8VPK5	Q6YHK3
E2RE68	A7YWN2	G3V8M4	Q8R0C3	Q9H8K7
J9PA78	F1N1Y8	A0A0H2UHR6	Q91YN1	Q15369
Q2A652	Q0VD19	P20781	P56469	Q9NRJ7
F1Q1H5	F1MFZ0	P23574	Q61772	Q86UP6
F1PLR4	F1MMV6	D4A7G9	P70379	P54922
F1P7M4	E1BN01	D4ABY0	Q7TM99	Q9BXY4
Q8MJW8	F1MGI5	Q99376	Q9D211	Q9C0D2
J9P6Z2	F1MLG2	D3ZC87	Q6PFH3	Q96MB7
E2RHH7	F1MSS4	Q7TMC7	Q8VCP9	Q96I30
J9NZ29	F1MCE7	A0A0G2K199	Q80U87	P62714
E2QVM5	Q58CZ3	Q6Y2E6	Q9R1S8	Q13241
J9NZ49	F1MWP9	D3ZLR4	Q8VC70	P02671
J9P2W0	E1B8G3	O70597	Q6PGG2	Q6NSA0
F1PF96	Q52QI2	D3ZYC9	Q8C145	A8MXZ3
F1Q0Z9	A6QP24	D4A827	P12970	Q9UNW9
J9NSI5	Q5EA77	G3V6Z2	O54931	P49773
F1P7C6	F1N261	D4A5V8	Q8VBV4	Q96BR5
E2QWT1	F1MB21	G3V8Y7	A0A0R4IZZ6	Q2TAL5
J9P912	F1ML32	G3V8M0	P50149	Q13206
E2QWR0	F1MYX9	D3ZV74	Q80VQ0	Q3LID9
E2RJR7	G3N2H4	O35849	Q99L96	P01116
E2RGR7	F1MNJ1	A1A5N3	V9GX34	Q8N7A1
F1PYM6	F1MER6	D4A2N0	Q8BMC0	Q8IWD4
F1PM44	A0A140T8C5	A0A0H2UHP7	P48758	Q96BU6
E2RP46	F1N367	Q7M6Y9	Q9DBL9	Q96PC2
E2QZU5	Q2TBS5	D4AC69	O55003	P36915
E2RML8	E1BP41	Q4V8I1	Q8CFA2	Q96N66
E2RKB7	F1MXJ1	M0R8J7	Q8C6B9	Q13084
D3DMB4	E1BBE5	F1LSR8	Q8K2W9	Q99543
Q29393	A0A140T8C7	Q45QJ4	Q8BFR4	O14530
F1PBM0	F1N0J3	B4F769	Q8C5G2	Q8TBE1
E2R943	E1BF60	A0A0G2JZZ8	Q80SU7	Q99966
J9JHS5	Q9XSK0	G3V769	P0C5I1	P25105
J9P793	Q0IID3	A0A0G2JSM6	A2ACJ2	Q96B18
F1PDV1	F1MYQ2	Q5WQV5	Q9QZ10	Q9HCN2
F1P688	Q2HJJ1	D3ZDP2	Q3TP92	P22033
E2RCH0	E1BQ02	Q4VBH2	P42867	Q15544
F1PD83	F1MHN4	A0A0G2K4A8	P63087	O95166
E2RPT8	F1MH61	D4A022	Q9CZS1	Q6RI45
E2QW31	E1BKB2	Q6U2D6	Q3USS3	Q9UGI9
E2RFJ1	E1B7G2	Q5U2P9	Q149I8	Q9NX74
E2R6K5	F1MG58	P0C8N6	B7ZMR6	Q8WWF8
E2R2Z1	E1BEN6	Q63270	Q9CPX5	Q5M8T2
F1Q4K2	P86437	A0A0G2K318	Q9JMI7	Q5ZEZ2
E2R838	P61420	D3ZMY8	P63028	P04792
J9NUK7	Q08DN3	F1LUQ3	P10598	Q9NPD8
E2RHD1	G3N2P8	Q5EB61	A0A0J9YTR2	Q8N568
F1Q2E3	E1BMM4	P14925	Q9D3W4	P51116
E2RST1	A5PK06	Q6IE24	P15261	Q9NXF1
F1PVQ2	F1MMU1	Q62764	Q80ZN9	Q13478
F1PQP8	E1BI45	A1L1K7	Q9JLT4	O14548
E2RNR8	E1BEL9	F1M7V4	O55230	Q8NBS9
F1PBW9	E1BC40	D4A563	A2A484	P01772
E2RJZ5	E1BK86	A0A0G2K8E7	B2RVL6	Q5T619
E2R0X6	E1BP14	Q5XIR8	Q62513	Q92496
P49670	F1MI24	P01150	Q3U034	O95617
F1PLD6	A2VE76	D4A0C8	Q9ERC8	Q99798
E2RJ44	F1MF41	Q5NDF0	A0A0R4J0A8	Q9UJM8
F6X735	E1BIA1	A0A0G2K6D0	Q9DC40	Q86TR8
F1PJ02	G3MX35	F1LNK2	Q9DBU5	Q01814
F6XCX3	Q0P572	D3ZQL1	A0A286YCV9	Q9BXW9
H9GWC8	E1BGC3	D3ZAS7	F6U2C2	Q0VDD7
F1P9U0	G3N2W0	Q9JI04	G3UWC3	Q5VYP0
F1PIJ6	Q1LZ90	B1H227	Q8CBD1	Q9P2D6
E2RKL8	F1N2L7	D3ZLB7	Q6P9N1	Q9NUN7
F1PK66	F6PMQ1	A0A0G2JSG8	A0A0R4J288	Q96EE3
P83509	Q58DK5	Q9WVC0	Q8CEC6	Q6NX49
E2RN16	A6QPS5	A0A0G2K1N8	Q9CPW5	P30457
F1PVZ8	G3N1E5	D4ACX0	Q8VCI1	Q9UGM3
J9P5C5	A6QQN6	D3ZB48	Q7TPS5	Q9NPH0
E2RP80	A6H760	A0A0G2JUM8	P56563	P30483
F1PQT6	E1BNY9	D3ZX56	Q6QI06	Q9UBL6
E2RIS6	P11456	Q6AYT7	Q8VDG5	Q9NYP3
E2QX21	Q58DM3	D3ZCS6	Q61093	Q9H0D2
F1PZB0	G5E5H0	A0A0H2UHT5	Q9D6F9	O76054
E2R2S2	A6QPU2	G3V7J7	Q3U0D9	O75309
E2RPZ2	A6QNS3	G3V6I1	P11152	Q15650
J9PAE8	E1BD49	E9PTS7	Q9DAX9	Q6UWD8
F6V418	Q0VC80	D4A3U0	F8WGB2	P16219
F6V718	Q1RMT8	B1WBL5	E9PV66	Q8WUH6
E2R906	F1MN84	D3ZTW6	Q8CGV4	Q9NQM4
F1PNA2	F1MG60	Q4V892	P55937	Q9Y2B4
F1PLA6	F1MNV6	P20942	P09470	Q03923
F1Q1H9	E1BJG7	D3ZEK5	Q8C5W3	Q53G71
E2R2C8	Q3SYY7	D3ZQI7	Q99JY4	P57730
F1PQA9	F1ML18	Q5PPI8	O55237	Q15286
F1PGG4	Q0IID8	A0A0G2K744	Q9QYK5	P49763
A9JPX7	P10522	G3V932	O70451	Q9H4G4
F1PTR1	G3MZ09	B2RZ89	Q9R1A9	Q9ULE3
E2RI54	Q28147	D3ZU27	A0A087WSN1	P47874
J9P0V9	Q08DE9	D3ZXP3	Q9CQV8	Q9NZJ9
E2RBI3	Q3SZ99	F1LVX1	H3BLC4	Q9H3P7
E2RFS6	G5E5V9	Q00972	O54788	Q07157
F1PTP6	E1B9N6	A0A0G2JU56	Q8R3V5	Q9NV56
F1Q0H0	F6RPU2	D4AC64	Q9WTQ8	P41159
F1PLV3	F1N600	Q9ET55	P51675	Q6WCQ1
E2RIP1	Q3MHH1	Q6MG07	P70397	Q6PF18
F1Q4K7	F1MGR5	D4AD32	Q9WTZ1	Q14190
F6X4M2	Q08E43	Q5EAP0	Q8C669	Q5T440
F1PCE9	E1BPP3	P04089	Q0P557	Q6ISB3
F1PZZ4	E1BKA4	P50279	E9PXB6	Q96A47
E2REH5	Q0IIA6	D4A435	Q5SU73	Q01892
E2QYR1	E1BCR7	P49655	Q8K2T9	P32856
F1P9S8	Q2HJA3	Q6AYG9	Q8BLU0	Q8IYU8
E2RCB0	F1MKS9	P62738	A0A0R4J0S8	Q5VZF2
F1PC14	Q32LA0	B2GV47	Q99J64	Q6ZRI8
E2RH91	Q58DS9	D4A857	E9Q5C9	P23470
E2QX50	Q3MHN2	F1LMZ4	P62309	Q02108
E2RDH3	C1JZ66	Q09325	Q67FY2	Q9NVS9
F1Q0I5	A5D784	D3ZM14	Q9D5V5	Q8IWT1
P86218	Q2TA00	D4A2K1	Q7M710	Q86VZ5
E2RB24	A2VDM6	B1WBW5	Q8BLX4	P40145
J9NS81	F1MER5	D4AEN1	Q9DB94	P09919
E2RKI5	G3N1E4	F1M9X7	Q9EP52	O75152
J9P409	E1BBZ8	A0A0G2K4P0	Q99PJ2	Q8TAG9
F1Q4I8	F1N2B8	D4A7I6	Q8CI52	Q9HCM2
J9P4A0	G3N290	D3Z8B6	Q9JLA2	A8K8P3
E2R069	F1MFE7	D4ADT7	E9PZ26	Q9UG56
F1Q2U5	F1N4E4	G3V6G6	O35486	O60543
E2RJF7	E1BLB9	F1M287	Q60636	Q7Z602
F6V4E0	A7MB89	D4AD99	Q8R2M5	Q96EX2
E2RJH4	A3KMX6	D3ZYL2	F8WIG2	P15056
E2RPE7	E1BNP1	A0A0G2K798	G5E8U5	A8KAG1
E2R472	P10894	P11030	Q8R1F0	Q8NEF9
E2RQJ9	F1MXG4	D4A758	Q6R3M4	Q86UY8
F1Q3R4	F1MZA9	D4AC39	Q8VI67	Q8NCN2
E2R0L9	F1MU08	A0A182DWI7	P42227	P01112
F1PGB4	A6QPM1	B1H267	Q99P51	O94817
E2RCR9	E1BB93	Q6MG84	Q8C1R3	Q9BS86
E2QWQ8	A8WFK5	Q6MG64	Q99PT9	Q96FL8
E2RE33	A8QQF2	G3V6W2	A0A286YDM6	Q9Y6Q1
F1PGP7	P00171	P07151	Q9D2C6	Q86X45
E2QY56	F1MSE7	Q8VIB2	Q9DCV3	Q9UID6
F1PGU3	F6QQ19	P97846	P56931	P51858
F1PUM5	Q32LB3	P37361	Q80XU3	Q9P1Z9
J9P7G3	A0A140T8A0	F1LMC9	A0A1B0GS01	Q5IJ48
J9NZK5	Q32PG0	Q642E3	P03958	Q9UBE8
F1PRG4	G3X816	F1M2F9	Q99LB6	Q6ZWB6
E2RID4	F1MCC8	F1M6P8	Q5DU14	Q7Z3B1
F1P9A3	E1BKI3	Q9EPJ1	Q9D198	Q8WXI9
F1Q4H7	E1BBA1	D3ZIM0	Q3U2V3	Q92599
J9P6Z1	G3X7B8	Q9JJ73	D3YZI9	P36871
P01353	Q58DR0	Q5M829	O54732	A4D1S0
F1PLM8	Q2HJ54	Q66HL0	Q61114	Q96SE7
E2R107	Q3MHP2	F1LNL3	Q99J09	Q05D60
F1Q2Z8	F1MEY1	Q6QIX3	Q5M6W3	Q6PJI9
J9P1Y0	E1BPB2	F1LN58	A0A0R4J0L8	Q6UX07
E2R3K9	F1MTV7	P63095	Q8CAS9	Q9UH36
J9NZ73	F1MPU9	A0A096MIU9	Q8R5A6	Q16775
E2R1J7	E1BKS5	P0C8E4	Q5RI75	Q03924
E2RRW3	Q2NL29	D3ZRG7	Q8VCM4	Q6ZV29
E2RPB8	A6QQY2	Q8K4Y7	G3X949	Q6ZNJ8
E2R4V5	Q2NL14	Q62622	Q8C5J0	P53992
F6XKS7	E1BG07	F1LMM4	Q91WQ5	Q92982
E2RMT2	F1ME79	Q6AXY3	O35659	P21397
F1P649	F1MXY2	D3ZFS2	O88520	Q9BZF9
F1PV71	G3N266	Q8CH93	P03953	Q5T0N5
F1PGY7	Q05B71	Q5PPH0	P50172	Q9BXK1
E2QZ18	Q58DN7	E9PTU9	Q91WF3	Q01432
F1P829	E1BBC8	B0BN58	Q99KU1	Q2NLD4
J9PB77	F1MGE9	D3ZRE6	Q7TSU7	P98177
F6V033	Q0VCT5	Q6P7R3	Q60771	Q9NZ32
O77808	F1MAV8	Q2VJ17	Q8BR93	A0A024R0L9
E2RLC1	F1N6G4	F1LUF8	P49582	Q9BRR0
E2R8M8	F1MSJ0	P60895	Q91XH6	P52945
F1PRC8	Q32LD2	A0A0G2K9G6	Q921W4	F5H284
J9NZQ3	F1MDZ8	M0RAT6	Q91ZU0	O94925
F1PKD8	Q2NKZ9	D3ZY00	A0A1L1SU27	Q08AE8
F1PF47	Q2TBS9	P21704	Q3TXV4	Q8TC29
E2R0Y2	G3N375	A0A096MJ81	P58158	Q16401
L7N0H2	F1MKS7	Q9EQ25	P13366	A0M8Q9
E2RRW9	E1BAC7	B2RYC6	P04186	Q96I51
Q8MKI8	Q2TBL5	Q9WV25	Q9D0D4	Q9NWS0
E2QYK3	F1N372	P62271	Q8C9W3	O94826
E2RMP3	F1MSI9	D3ZDE4	G5E899	Q6W2J9
E2RCB1	E1BCL0	D4A7R4	Q3UHL2	Q9NYC9
F1PS37	E1B8Y9	D3ZF54	Q99KW9	P55345
F1PK51	Q0VD29	F1LWB7	B1AYB6	Q92611
F1Q4F9	A8E4Q5	F1LP77	P09925	P01344
F6XBJ5	F1MTX0	Q6AZ50	Q61508	Q9H1X1
F1Q0K8	F1N343	A0A0H2UHN1	Q9CXI3	P56537
J9NUE0	E1BGD9	D4ACE1	Q9R0N7	Q9C035
F1P6S2	E1BN18	D4A009	Q8VHF2	Q9NY56
F1PDD7	F1MMA8	D3ZAM4	E9PYD7	Q14934
J9JHB0	F1N330	Q2TGJ4	O35652	Q14156
J9P663	A6QPE7	P36860	O09005	Q6DD87
F1PJX0	F1MW14	D3ZLB1	Q8R5G7	Q4G0N8
E2RF00	F1N5Q6	Q08603	Q5SUQ9	Q96AY2
E2R5X1	F1MI95	M0R9Z5	Q9JJV5	Q9BQ13
F1PU24	G5E5T2	B5DFJ1	Q7TSG3	O75683
E2QVN0	F1N3L4	D4ADP7	Q9CZY3	Q6PL45
J9NZC5	Q0VD08	D3Z9F2	Q6PDC8	Q5RGS3
F1PQK7	E1B9K7	Q641Y7	Q8BX79	Q9Y5L0
E2RP15	A0A140T8B9	Q9R1R4	Q61012	P09104
J9NTQ2	F1MFY0	D3ZRW5	Q91V88	Q9C075
J9P029	A7Z026	F1LR56	Q07440	Q7L2V5
F1PAD0	F1MS35	Q496Z9	Q8BZR9	Q7Z6K5
E2REE9	G8JKZ5	D3ZU21	B7ZC94	Q92769
E2R2S1	F1MP73	F1LX96	Q3ZK22	Q96GD0
F6XJP3	E1BES2	Q8VI04	P47759	Q13508
J9P8K0	Q17QT4	Q6B345	A2A716	P58505
F1PCL3	Q02367	Q68G39	O35714	P14778
E2R0Y5	G3N2Y7	P54690	E9Q8V6	Q8N302
F6UNG9	Q2KIL6	F1LTJ5	Q9ET01	O75916
J9P6P0	F1N329	D3ZYM7	Q8VHQ2	Q8IXK2
F1P7Y5	F1MXQ0	M0RCK7	P49764	Q96PH1
E2RQT5	E1BBX7	A0A0H2UHE9	Q8R0F7	P0CG37
F1P983	A8NJ74	D3ZX82	O35984	Q7L576
F1PJ53	A4FUW9	D4ADP8	B7ZC55	Q9Y417
E2RPQ2	A0JN40	V9GZ87	Q8BTG6	P08134
Q28874	G8JKZ3	A0A0G2K6T6	Q91XX1	Q99707
E2R9K2	F1N7E7	F1LSH6	Q8BKE9	Q9Y5F2
J9P0K9	F1MJP4	A0A0G2JYS9	Q9QX98	P26006
J9P9P0	F1MKZ6	G3V734	P39061	Q9BVN2
E2RDQ5	E1BJ03	D3ZTM7	P08556	Q9C0K3
F6XY50	A5D786	F1LVL8	Q8C8Y5	Q13439
F1PAM8	Q28132	Q5PQV1	Q5SUV2	Q15697
F1PYC1	A1L4Z7	Q6V9Y2	G5E8Z2	Q16864
E2RF53	E1BLK1	A0A0G2KAA1	Q9D2K4	Q86YV5
J9P852	P46198	P27952	E9Q5A7	Q8IV01
J9P965	B2NIZ2	Q641Z7	Q8BWQ1	Q6P582
Q863Z4	E1BAH0	G3V8W0	Q5KU39	Q15014
E2RCS2	A6QPZ5	A0A0G2JXJ1	Q9JIL4	P60891
F1PIR2	Q6RXL1	G3V771	P10404	Q9UKX5
E2R9F7	G3N3T5	F1LVY9	A2BDX3	Q15649
F1Q3X7	E1BA93	D3ZIV8	Q921Y0	Q14694
F1PB91	F1MB32	D3ZAP6	Q9QXG9	Q02548
L7N0B9	F1MMD7	A0A0G2K552	Q9DBJ1	P15170
J9P372	F1MJX0	A0A096MJS9	Q9CYD3	Q6IED9
F1PCB6	E1BAR0	D3ZF03	Q9EQX4	Q6PID8
E2RJS0	E1BKI9	D4A3V3	Q9CWR2	P52735
E2RRY6	F1MSP4	A0A0G2JX63	Q8BWP5	O60861
J9JHK2	A0JN41	Q3KR82	S4R1V8	Q9NP58
F1PAT3	E1BFQ8	A0A096MIS4	Q6P3B9	Q8WWQ0
J9P1M4	E1B8I6	F1M171	Q9ER05	P0C7H8
F1PSL8	A0A140T8A1	Q9R1Z0	Q64739	Q9H1Z8
F1Q427	F6PVF9	Q62894	Q8CF93	Q9P1W8
F6XT35	F1N644	B2RZC9	P56818	Q9C0C4
E2R7S4	A5D7S4	A0A1W2Q656	Q61139	P08F94
E2RNL2	Q1RMW2	D3ZIA9	Q9D6L8	Q86Y97
F1P7N1	F1N7C5	A0A096MK76	A2AJB2	Q6IPW1
F1PEC4	F1MPI7	Q9R1T5	P09021	P23769
Q30KS7	F1MY53	D4ADE7	C0HKD9	Q6UW68
E2R7R1	F6RJY8	F1LY09	Q3TZZ7	Q9BRP0
F1PTA3	G3MWG5	F1LNV1	Q9Z306	Q8IXS8
E2R2B8	F1MQL7	A0A0H2UHH2	Q921L8	Q9GZM7
F1PX62	P01001	D4A417	P24604	Q06141
E2R4S5	F1MZB8	Q5M819	Q91VS7	A6NKQ9
J9P953	F1MNR2	Q63648	H9KUZ3	Q86WT6
E2RFR5	F6QLM5	D3ZMM4	Q8BG73	O00167
F1PDR6	F1N3M4	Q9QZV8	Q6NSU3	B9A064
F1Q4B0	F1MNF0	A0A0G2JST5	Q6NS86	Q8NC67
E2RNA6	F1MKB0	A0A0G2K6Y2	A0A0R4J285	P12273
E2RT77	A4IF89	Q9WTT7	Q9CR73	Q7Z5A7
E2RC55	F1MZ35	F1M787	Q8C726	Q4G0J3
E2RA90	E1BM81	Q6X936	Q99K23	P09960
F6Y2I2	F1N599	Q62901	Q99J77	Q96RW7
J9NTT0	E1BIB9	P51796	Q9CX62	Q9UQ72
E2R3Z9	F1MR77	Q3L7M0	Q9D8G5	Q4G0S1
J9NSI2	E1BL88	D3ZZR4	Q1EHW4	Q59EB5
F1PH57	P00426	D3ZLP9	P97295	P13473
E2RD44	Q2KIV9	F6PUS4	Q8CJ40	Q3SY00
F6XFT8	G3N136	D3ZAE3	Q9QZ03	Q9UBB5
E2RH78	Q3T119	D4A5N1	Q99JB6	A0A0S2Z4Y0
E2QWY8	Q3ZBA7	D3ZTN5	O35972	Q92543
J9NYK2	Q58DL9	D3ZUM4	O70589	Q6ZNW5
J9P2E6	A5D7I7	D3ZP72	Q9D385	Q9BPZ3
E2R9L1	F1MPD1	P56536	A6H656	Q9NY61
E2RCY4	F1MU62	O54772	O35218	Q9Y2I9
E2RKK7	Q3T083	P02454	Q9D358	Q8NBT0
E2RQ41	E1BLG9	A0A0G2K716	Q9D3S9	Q12996
E2R5F0	A4FUE9	Q5FVR8	Q8BW66	Q7RTY1
E2QU72	Q3SZQ3	P50573	F8WGX2	O14792
F1P857	F6R6Q1	Q6PCU2	Q62255	Q9UJN7
F1PSS7	F1N6T1	F1LQ26	A0A1L1SRI1	Q93008
F1PX21	F1MMQ5	A0A0G2K6R8	Q9D219	Q9H3R5
E2RTA9	F1MJV3	Q6IFV3	Q8CIH9	Q96HM7
F1P9N9	A6H704	A0A0G2JXE4	A0A1L1SSS3	Q96I15
E2RSD3	E1BIX6	A0A0G2JWJ2	Q3UUQ7	Q9NZV5
E2R2S3	Q17QW8	F1M7M9	P30966	O75334
F1P8V1	F1MNU5	G3V862	Q3TG86	P54849
F1PYH8	F1N319	F1LMA7	Q9CR27	P51686
J9P3L9	F1N167	M0RDG7	Q9JJF0	Q9Y4R8
F6X9E9	A5PKJ9	A0A0G2JY22	Q8BHD0	P31269
F1Q0Z4	G3MWZ7	D4A3L4	Q6DFV7	Q86YD1
F1PR41	F1MH30	D4A1T1	Q5SSW2	Q9UNA3
E2QWK2	G3N0M4	D3ZMJ7	Q7TQ95	O14578
J9P9T8	Q32KU2	Q25C79	O54743	Q9BYV8
F1PH12	Q1LZC5	D4A3Z4	P30280	Q9BVC4
E2R4N4	F1N6W9	M0R752	O08789	Q8N2W9
E2QV28	Q0VC53	D4A9L9	Q8BX57	Q8N339
J9P3X4	Q2YDE3	B2GUX4	Q6P9R1	Q8N130
G1K2A5	Q2KIQ8	D4ADI3	Q792Z0	Q6Q759
F1PHN5	P02666	F1LX58	Q61334	Q9BSH5
F1P609	C8KIL7	D4AB31	Q8K1H1	Q8NF86
E2R141	A0JNB6	Q5FVJ3	Q3UFQ5	Q8WYB5
E2R117	O02753	Q06C60	Q810U4	Q96C10
E2RFW4	F1MSG6	A0A0G2KAW5	P39053	O95793
E2RBV5	E1BDQ6	Q923K1	Q9D8T2	Q5H9U9
J9P5Z2	E1BHI2	A0A096MJ41	Q8R0S4	O94811
F1PCF9	Q5EA80	R9PXY2	Q9ERH7	Q8N6H7
F1PYF5	F1MZP3	A0A0U1RS05	E9QA35	Q9P2Z0
F1Q028	F1N1D2	Q920Q0	Q6NXI6	Q9Y6I3
E2RF29	A6QLZ5	D3ZRM5	Q9EPK6	Q8WXQ8
J9P6P9	F1MZ89	M0R582	P07725	P14854
F1PXF3	A6QNP7	Q6AYR5	Q62361	P40189
E2R8A7	F1MYI6	A0A0G2JXK1	A0A0A6YVZ7	Q9Y4F5
F1P8A7	Q6H8M7	Q99PJ8	Q8VDI1	Q9UMK7
E2RFB7	E1BLS8	Q920R3	P49070	Q8WXI2
F1PWK7	Q08E61	A0A0G2K9Y4	Q8BH44	Q9Y250
Q4F889	F6QVR0	A0A0G2JZU6	Q8VCA5	Q96GY0
F1PDM3	Q8SPJ1	D3ZIV3	O54957	Q86WN2
F6XQD6	F1N0T5	A0A0G2JT07	O08759	Q6GQQ9
E2RMP8	E1BE86	G3V616	Q9EPK8	B7ZLH0
P52204	A5D7K2	D3ZDH5	Q99JY8	Q9H376
E2R868	F1MVZ8	D4AAV1	Q80UF4	P61165
F1PB47	Q28869	F1LVS1	Q8BI67	P11215
E2QTD8	F1N0F2	P08424	P21836	Q13536
E2RF76	Q08DS3	Q9WVC7	B1AT60	Q53FE4
J9P653	A4IFQ5	Q9JIR1	Q3UJI2	Q9BUR4
E2R3P8	E1BDX9	Q66HR9	Q9Z179	O00230
E2RGG0	A6QQ24	P24050	H3BJB2	Q9UBJ2
F1PJZ8	E1BJ48	E9PSU1	Q8BYH6	Q9H313
F1PDJ8	F6RDE3	F1LPB9	Q80XN0	O00192
E2RPS8	Q58D00	P19637	Q8R3F9	Q16647
E2RJR0	G5E5A7	Q5XHX2	Q3TIR1	Q969P5
J9P702	E1BCC6	F1LYD6	P37040	O14746
J9P4C2	E1BID4	D4AA62	Q99JH7	Q63HM2
H9GWG4	F1MXW5	B5DEG7	Q5SW19	Q6PJW8
F6PMG8	G5E522	O35359	O35214	P14061
F1PJY6	F1N5I0	D4A7N4	Q9D6Z6	P06734
E2QTR2	Q5E9M8	D4ACT4	B1AUN2	Q5BN46
F1PM67	E1B8C9	M0RCE9	E9QNR5	Q9Y6J8
E2RPW8	Q3T0S7	Q6QI16	Q3TWW8	Q9UBT6
E2RA13	F1MIU6	F1LSG3	B7ZCR6	P48775
E2RIJ6	F1N3Q8	Q6AZ54	Q9Z0F8	O94985
J9P272	F1MW66	Q6AY53	Q8BG71	O95168
E2R652	F1MV58	Q561R1	Q66JY6	Q09019
F1Q0T4	E1BHB0	F1M110	Q920R0	Q9HAA0
E2RAM2	F1MW09	A0A096P6L9	E9QN68	O60494
E2QWU6	F1MIX6	M9MMM8	O09174	Q9GZR2
F1PJY7	Q29RS1	B5DFE3	E9PUZ9	Q8N4P2
J9P6G0	Q3MHY8	D3ZSA9	Q9DAY4	Q14995
E2R7L3	F1N1K0	A0A0G2K4H9	Q8BGZ6	Q9H2G9
